Fecha_Hora,codigoSerial,pm25,calidad_pm25,pm10,calidad_pm10,pm1,calidad_pm1,no,calidad_no,no2,calidad_no2,nox,calidad_nox,ozono,calidad_ozono,co,calidad_co,so2,calidad_so2,pst,calidad_pst,dviento_ssr,calidad_dviento_ssr,haire10_ssr,calidad_haire10_ssr,p_ssr,calidad_p_ssr,pliquida_ssr,calidad_pliquida_ssr,rglobal_ssr,calidad_rglobal_ssr,taire10_ssr,calidad_taire10_ssr,vviento_ssr,calidad_vviento_ssr
2022-01-01 00:00:00,12,33.0,1.0,40.0,1.0,-9999.0,1.0,6.3987,1.0,11.9019,1.0,18.3005,1.0,-9999.0,1.0,-9999.0,1.0,2.8763,2.1,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2022-01-01 01:00:00,12,73.0,2.1,79.0,2.2,-9999.0,1.0,6.3987,1.0,11.9019,1.0,18.3005,1.0,-9999.0,1.0,-9999.0,1.0,3.40988,2.5,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2022-01-01 02:00:00,12,49.0,2.2,55.0,2.2,-9999.0,1.0,3.8168,1.0,9.9015,1.0,13.7182,1.0,-9999.0,1.0,-9999.0,1.0,3.40721,2.5,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2022-01-01 03:00:00,12,38.0,1.0,41.0,1.0,-9999.0,1.0,3.1042,1.0,10.1888,1.0,13.293,1.0,-9999.0,1.0,-9999.0,1.0,2.97948,2.5,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2022-01-01 04:00:00,12,33.0,2.6,32.0,2.6,-9999.0,1.0,5.6555,1.0,11.95,1.0,17.6055,1.0,-9999.0,1.0,-9999.0,1.0,3.24563,2.5,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2022-01-01 05:00:00,12,26.0,1.0,34.0,1.0,-9999.0,1.0,4.8428,1.0,11.0399,1.0,15.8826,1.0,-9999.0,1.0,-9999.0,1.0,2.9781,2.5,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2022-01-01 06:00:00,12,23.0,1.0,28.0,1.0,-9999.0,1.0,3.6996,2.1,10.1494,1.0,13.849,2.1,-9999.0,1.0,-9999.0,1.0,2.77466,2.5,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2022-01-01 07:00:00,12,15.0,2.1,19.0,2.1,-9999.0,1.0,6.7295,1.0,10.7896,1.0,17.5191,1.0,-9999.0,1.0,-9999.0,1.0,2.39549,2.5,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2022-01-01 08:00:00,12,13.0,2.1,27.0,2.1,-9999.0,1.0,4.6299,1.0,9.9367,1.0,14.5666,1.0,-9999.0,1.0,-9999.0,1.0,2.68617,2.5,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2022-01-01 09:00:00,12,17.0,1.0,34.0,1.0,-9999.0,1.0,5.8999,2.1,9.7878,1.0,15.6877,1.0,-9999.0,1.0,-9999.0,1.0,2.69882,2.5,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2022-01-01 10:00:00,12,18.0,1.0,33.0,1.0,-9999.0,1.0,7.5148,1.0,8.821,1.0,16.3358,1.0,-9999.0,1.0,-9999.0,1.0,3.1739,2.5,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2022-01-01 11:00:00,12,25.0,1.0,28.0,2.1,-9999.0,1.0,5.1206,1.0,5.3302,1.0,10.4508,1.0,-9999.0,1.0,-9999.0,1.0,2.50348,2.5,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2022-01-01 12:00:00,12,26.0,1.0,28.0,1.0,-9999.0,1.0,6.169,1.0,5.9476,1.0,12.1165,1.0,-9999.0,1.0,-9999.0,1.0,2.03563,2.5,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2022-01-01 13:00:00,12,20.0,1.0,20.0,2.1,-9999.0,1.0,1.3961,1.0,6.5366,1.0,7.9328,1.0,-9999.0,1.0,-9999.0,1.0,1.50414,2.5,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2022-01-01 14:00:00,12,22.0,2.6,20.0,2.6,-9999.0,1.0,2.5054,1.0,3.9739,1.0,6.4792,1.0,-9999.0,1.0,-9999.0,1.0,1.29354,2.5,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2022-01-01 15:00:00,12,20.0,1.0,25.0,1.0,-9999.0,1.0,2.8263,1.0,3.2511,1.0,6.0774,1.0,-9999.0,1.0,-9999.0,1.0,1.76901,2.5,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2022-01-01 16:00:00,12,20.0,1.0,23.0,1.0,-9999.0,1.0,3.6167,1.0,5.287,1.0,8.9037,2.1,-9999.0,1.0,-9999.0,1.0,2.53127,2.5,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2022-01-01 17:00:00,12,18.0,1.0,29.0,1.0,-9999.0,1.0,5.6818,1.0,8.5785,1.0,14.2603,1.0,-9999.0,1.0,-9999.0,1.0,3.31947,2.5,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2022-01-01 18:00:00,12,16.0,1.0,28.0,1.0,-9999.0,1.0,6.6178,1.0,10.7802,1.0,17.398,1.0,-9999.0,1.0,-9999.0,1.0,1.72593,2.5,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2022-01-01 19:00:00,12,25.0,1.0,28.0,2.1,-9999.0,1.0,2.8338,2.1,8.5689,2.1,11.4028,2.1,-9999.0,1.0,-9999.0,1.0,1.93944,2.5,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2022-01-01 20:00:00,12,21.0,1.0,33.0,1.0,-9999.0,1.0,4.0238,1.0,16.3447,1.0,20.3685,1.0,-9999.0,1.0,-9999.0,1.0,2.59979,2.5,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2022-01-01 21:00:00,12,20.0,1.0,37.0,1.0,-9999.0,1.0,8.5329,1.0,14.2722,1.0,22.8051,1.0,-9999.0,1.0,-9999.0,1.0,2.8224,2.5,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2022-01-01 22:00:00,12,19.0,1.0,32.0,1.0,-9999.0,1.0,7.3203,1.0,12.7586,1.0,20.0789,1.0,-9999.0,1.0,-9999.0,1.0,2.71621,2.5,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2022-01-01 23:00:00,12,23.0,1.0,41.0,1.0,-9999.0,1.0,7.1752,1.0,12.2862,1.0,19.4614,1.0,-9999.0,1.0,-9999.0,1.0,2.67821,2.5,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2022-01-02 00:00:00,12,23.0,1.0,34.0,1.0,-9999.0,1.0,5.7411,1.0,11.1109,1.0,16.852,1.0,-9999.0,1.0,-9999.0,1.0,2.39555,2.1,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2022-01-02 01:00:00,12,26.0,1.0,30.0,1.0,-9999.0,1.0,6.2525,1.0,10.9722,1.0,17.2247,1.0,-9999.0,1.0,-9999.0,1.0,2.52396,2.5,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2022-01-02 02:00:00,12,33.0,1.0,53.0,1.0,-9999.0,1.0,5.2572,1.0,10.6881,1.0,15.9453,1.0,-9999.0,1.0,-9999.0,1.0,2.90807,2.5,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2022-01-02 03:00:00,12,19.0,1.0,22.0,1.0,-9999.0,1.0,5.2012,1.0,9.1974,1.0,14.3986,1.0,-9999.0,1.0,-9999.0,1.0,2.35893,2.5,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2022-01-02 04:00:00,12,11.0,1.0,22.0,1.0,-9999.0,1.0,3.7365,1.0,7.1354,1.0,10.872,1.0,-9999.0,1.0,-9999.0,1.0,1.78096,2.5,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
